Film,Production,Cast
Fatima,Picturehouse,"Marco Pontecorvo (director); Barbara Nicolosi, Marco Pontecorvo, Valerio D'Annunzio (screenplay); Joaquim de Almeida, Goran Višnjić, Stephanie Gil, Alejandra Howard, Jorge Lamelas, Lúcia Moniz, Marco d'Almeida, Joana Ribeiro, Harvey Keitel, Sônia Braga"
All Together Now,Netflix,"Brett Haley (director); Matthew Quick, Matt Basch (screenplay); Auliʻi Cravalho, Rhenzy Feliz, Judy Reyes, Justina Machado, Taylor Richardson, C.S. Lee, Fred Armisen, Carol Burnett"
"Love, Guaranteed",Netflix,"Mark Steven Johnson (director); Elizabeth Hackett, Hilary Galanoy (screenplay); Rachael Leigh Cook, Damon Wayans Jr."
Mulan,Disney+ / Walt Disney Pictures,"Niki Caro (director); Rick Jaffa, Amanda Silver, Laura Hynek, Elizabeth Martin (screenplay); Liu Yifei, Donnie Yen, Tzi Ma, Jason Scott Lee, Yoson An, Ron Yuan, Gong Li, Jet Li"
Critical Thinking,Vertical Entertainment,"John Leguizamo (director); Dito Montiel (screenplay); John Leguizamo, Jorge Lendeborg Jr., Angel Bismark Curiel, Will Hochman, Corwin Tuggles, Jeffry Batista, Ramses Jimenez, Rachel Bay Jones, Michael K. Williams"
The Owners,RLJE Films / Wild Bunch / XYZ Films,"Julius Berg (director/screenplay); Mathieu Gompel (screenplay); Maisie Williams, Sylvester McCoy, Rita Tushingham, Jake Curran, Andrew Ellis, Ian Kenny"
Guest House,Lionsgate,"Sam Macaroni (director/screenplay); Sean Bishop, Troy Duffy (screenplay); Pauly Shore, Mike Castle, Aimee Teegarden, Billy Zane, Steve-O, Charlotte McKinney, Mikaela Hoover"
The Babysitter: Killer Queen,Netflix,"McG (director/screenplay); Dan Lagana (screenplay); Judah Lewis, Emily Alyn Lind, Jenna Ortega, Robbie Amell, Bella Thorne, Samara Weaving"
Unpregnant,HBO Max / Warner Max,"Rachel Lee Goldenberg (director/screenplay); Ted Caplan, Jenni Hendriks, Jennifer Kaytin Robinson, William Parker (screenplay); Haley Lu Richardson, Barbie Ferreira, Alex MacNicoll, Breckin Meyer, Giancarlo Esposito"
The Devil All the Time,Netflix / Nine Stories Productions,"Antonio Campos (director/screenplay); Paulo Campos (screenplay); Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke, Sebastian Stan, Haley Bennett, Eliza Scanlen, Mia Wasikowska, Robert Pattinson"
The Broken Hearts Gallery,TriStar Pictures / Stage 6 Films,"Natalie Krinsky (director/screenplay); Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar, Molly Gordon, Phillipa Soo, Bernadette Peters"
I Met a Girl,Gravitas Ventures,"Luke Eve (director); Glen Dolman (screenplay); Brenton Thwaites, Lily Sullivan, Joel Jackson"
Rent-A-Pal,IFC Midnight,"Jon Stevenson (director/screenplay); Wil Wheaton, Brian Landis Folkins, Kathleen Brady, Amy Rutledge, Adrian Egolf"
Cats & Dogs 3: Paws Unite!,Warner Bros.,"Sean McNamara (director); Scott Bindley (screenplay); Melissa Rauch, Max Greenfield, George Lopez"
The Secrets We Keep,Bleecker Street,"Yuval Adler (director/screenplay); Ryan Covington (screenplay); Noomi Rapace, Joel Kinnaman, Chris Messina"
Antebellum,Lionsgate,"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe"
The Nest,IFC Films / FilmNation Entertainment,"Sean Durkin (director/screenplay); Jude Law, Carrie Coon, Charlie Shotwell, Oona Roche, Adeel Akhtar"
Blackbird,Screen Media Films / Millennium Films,"Roger Michell (director); Christian Torpe (screenplay); Susan Sarandon, Kate Winslet, Mia Wasikowska, Lindsay Duncan, Rainn Wilson, Bex Taylor-Klaus, Sam Neill"
Lost Girls & Love Hotels,Astrakan Film AB,"William Olsson (director); Catherine Hanrahan (screenplay); Alexandra Daddario, Takehiro Hira, Carice van Houten"
Killian & the Comeback Kids,Hope Runs High,"Taylor A. Purdee (director/screenplay); Taylor A. Purdee, John Donchak, Nathan Purdee, Kassie DePaiva"
Enola Holmes,Netflix / Legendary Pictures,"Harry Bradbeer (director); Jack Thorne (screenplay); Millie Bobby Brown, Henry Cavill, Sam Claflin, Adeel Akhtar, Fiona Shaw, Frances de la Tour, Louis Partridge, Susie Wokoma, Helena Bonham Carter"
The Trial of the Chicago 7,Netflix / Paramount Pictures / DreamWorks Pictures / Cross Creek Pictures,"Aaron Sorkin (director/screenplay); Yahya Abdul-Mateen II, Sacha Baron Cohen, Danny Flaherty, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Eddie Redmayne, Noah Robbins, Mark Rylance, Alex Sharp, Jeremy Strong"
Ava,Vertical Entertainment / Voltage Pictures,"Tate Taylor (director); Matthew Newton (screenplay); Jessica Chastain, John Malkovich, Common, Geena Davis, Colin Farrell, Ioan Gruffudd, Joan Chen"
Kajillionaire,Focus Features / Plan B Entertainment / Annapurna Pictures,"Miranda July (director/screenplay); Evan Rachel Wood, Richard Jenkins, Debra Winger, Gina Rodriguez"
The Last Shift,Stage 6 Films,"Andrew Cohn (director/screenplay); Richard Jenkins, Shane Paul McGhie, Da'Vine Joy Randolph, Birgundi Baker, Allison Tolman, Ed O'Neill"
Secret Society of Second-Born Royals,Disney+ / Disney Channel,"Anna Mastro (director); Alex Litvak, Andrew Green (screenplay); Peyton Elizabeth Lee, Skylar Astin, Élodie Yung"
She's in Portland,Freestyle Releasing,"Marc Carlini (director/screenplay); Patrick Alexander (screenplay); Tommy Dewey, François Arnaud, Minka Kelly"
Sightless,MarVista Entertainment,"Cooper Karl (director/screenplay); Madelaine Petsch, Alexander Koch"
The Boys in the Band,Netflix,"Joe Mantello (director); Mart Crowley (screenplay); Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesus, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins"
The Glorias,Roadside Attractions / LD Entertainment,"Julie Taymor (director/screenplay); Sarah Ruhl (screenplay); Julianne Moore, Alicia Vikander, Timothy Hutton, Lorraine Toussaint, Janelle Monáe, Bette Midler"
On the Rocks,Apple TV+ / A24 / American Zoetrope,"Sofia Coppola (director/screenplay); Rashida Jones, Bill Murray, Marlon Wayans, Jessica Henwick, Jenny Slate"
Spontaneous,Paramount Pictures / Jurassic Party Productions,"Brian Duffield (director/screenplay); Katherine Langford, Charlie Plummer, Hayley Law, Piper Perabo, Rob Huebel, Yvonne Orji"
Vampires vs. the Bronx,Netflix / Universal Pictures,"Osmany Rodriguez (director/screenplay); Blaise Hemingway (screenplay); Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Coco Jones, The Kid Mero, Method Man, Chris Redd, Shea Whigham"
Possessor,Neon / Well Go USA Entertainment / Elevation Pictures / Ingenious Media,"Brandon Cronenberg (director/screenplay); Andrea Riseborough, Christopher Abbott, Rossif Sutherland, Tuppence Middleton, Sean Bean, Jennifer Jason Leigh"
Death of Me,Saban Films,"Darren Lynn Bousman (director); Arli Margolis, James Morley III, David Tish (screenplay); Maggie Q, Alex Essoe, Luke Hemsworth"
The Call,Voltage Pictures / Cinedigm,"Timothy Woodward Jr. (director); Patrick Stibbs (screenplay); Lin Shaye, Tobin Bell"
American Pie Presents: Girls' Rules,Universal Pictures,"Mike Elliott (director); David H. Steinberg, Blayne Weaver (screenplay); Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet, Zachary Gordon"
The Lie,Amazon Studios / Blumhouse Productions,"Veena Sud (director/screenplay); Mireille Enos, Peter Sarsgaard, Joey King"
Black Box,Amazon Studios / Blumhouse Productions,"Emmanuel Osei-Kuffour Jr. (director/screenplay); Stephen Herman (screenplay); Mamoudou Athie, Phylicia Rashad"
Hubie Halloween,Netflix / Happy Madison Productions,"Steven Brill (director); Adam Sandler, Tim Herlihy (screenplay); Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Rob Schneider, June Squibb, Kenan Thompson, Shaquille O'Neal, Steve Buscemi, Maya Rudolph"
Books of Blood,Hulu,"Brannon Braga (director/screenplay); Adam Simon (screenplay); Britt Robertson, Anna Friel, Rafi Gavron, Yul Vazquez"
Charm City Kings,HBO Max / Warner Max / Overbrook Entertainment,"Angel Manuel Soto (director); Sherman Payne (screenplay); Jahi Di'Allo Winston, Meek Mill, Will Catlett, Teyonah Parris"
The War with Grandpa,101 Studios / Brookdale Studios,"Tim Hill (director); Tom J. Astle, Matt Ember (screenplay); Robert De Niro, Uma Thurman, Rob Riggle, Oakes Fegley, Cheech Marin, Jane Seymour, Christopher Walken"
A Rainy Day in New York,MPI Media Group,"Woody Allen (director/screenplay); Timothée Chalamet, Elle Fanning, Selena Gomez, Jude Law, Diego Luna, Liev Schreiber"
Yellow Rose,Stage 6 Films,"Diane Paragas (director/screenplay); Annie J. Howell, Celena Cipriaso (screenplay); Eva Noblezada, Dale Watson, Princess Punzalan, Lea Salonga"
The 40-Year-Old Version,Netflix,"Radha Blank (director/screenplay); Radha Blank, Peter Kim, Oswin Benjamin, Reed Birney"
Nocturne,Amazon Studios / Blumhouse Productions,"Zu Quirke (director/screenplay); Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw"
Evil Eye,Amazon Studios / Blumhouse Productions,"Elan Dassani, Rajeev Dassani (directors); Madhuri Shekar (screenplay); Sarita Choudhury, Sunita Mani, Omar Maskati, Bernard White"
A Babysitter's Guide to Monster Hunting,Netflix / Walden Media / The Montecito Picture Company,"Rachel Talalay (director); Joe Ballarini (screenplay); Tamara Smart, Oona Laurence, Tom Felton, Indya Moore"
Love and Monsters,Paramount Pictures / Entertainment One / 21 Laps Entertainment,"Michael Matthews (director); Matthew Robinson, Brian Duffield (screenplay); Dylan O'Brien, Jessica Henwick, Dan Ewing, Ariana Greenblatt, Michael Rooker"
Honest Thief,Open Road Films / Briarcliff Entertainment,"Mark Williams (director/screenplay); Steve Allrich (screenplay); Liam Neeson, Kate Walsh, Robert Patrick, Anthony Ramos, Jeffrey Donovan, Jai Courtney"
Clouds,Disney+,"Justin Baldoni (director); Kara Holden (screenplay); Fin Argus, Sabrina Carpenter, Madison Iseman, Lil Rel Howery, Neve Campbell, Tom Everett Scott"
The Devil Has a Name,Momentum Pictures,"Edward James Olmos (director); Robert McEveety (screenplay); David Strathairn, Kate Bosworth, Pablo Schreiber, Edward James Olmos, Katie Aselton, Haley Joel Osment, Alfred Molina, Martin Sheen"
The Kid Detective,Stage 6 Films,"Evan Morgan (director/screenplay); Adam Brody, Sophie Nélisse, Tzi Ma, Wendy Crewson, Sarah Sutherland"
Alone,Lionsgate,"Johnny Martin (director); Matt Naylor (screenplay); Tyler Posey, Summer Spiro, Robert Ri'chard, Donald Sutherland"
2 Hearts,Freestyle Releasing,"Lance Hool (director); Veronica Hool, Robin U. Russin (screenplay); Jacob Elordi, Adan Canto, Tiera Skovbye, Radha Mitchell"
The Opening Act,RLJE Films,"Steve Byrne (director/screenplay); Jimmy O. Yang, Alex Moffat, Cedric the Entertainer"
Tremors: Shrieker Island,Universal Pictures Home Entertainment,"Don Michael Paul (director/screenplay); Brian Brightly (screenplay); Michael Gross, Jon Heder"
The Witches,HBO Max / Warner Bros. Pictures / ImageMovers,"Robert Zemeckis (director/screenplay); Kenya Barris, Guillermo del Toro (screenplay); Anne Hathaway, Octavia Spencer, Stanley Tucci, Jahzir Bruno, Codie-Lei Eastick, Kristin Chenoweth, Chris Rock"
Over the Moon,Netflix / Pearl Studio / Sony Pictures Imageworks,"Glen Keane (director); Audrey Wells (screenplay); Cathy Ang, Phillipa Soo, Ken Jeong, John Cho, Ruthie Ann Miles, Margaret Cho, Sandra Oh"
Borat Subsequent Moviefilm,Amazon Studios,"Jason Woliner (director); Peter Baynham, Sacha Baron Cohen, Jena Friedman, Anthony Hines, Lee Kern, Dan Mazer, Erica Rivinoja, Dan Swimer (screenplay); Sacha Baron Cohen, Maria Bakalova"
After We Collided,Open Road Films / Voltage Pictures,"Roger Kumble (director); Anna Todd, Mario Celaya (screenplay); Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Shane Paul McGhie, Candice King, Khadijha Red Thunder, Inanna Sarkis, Samuel Larsen, Selma Blair"
The Empty Man,20th Century Studios,"David Prior (director/screenplay); James Badge Dale, Marin Ireland, Stephen Root, Ron Canada, Robert Aramayo, Joel Courtney, Sasha Frolova"
Synchronic,XYZ Films / Well Go USA Entertainment,"Justin Benson, Aaron Moorhead (directors) Justin Benson (screenplay); Anthony Mackie, Jamie Dornan"
Bad Hair,Hulu,"Justin Simien (director/screenplay); Elle Lorraine, Vanessa Williams, Jay Pharoah, Lena Waithe, Blair Underwood, Laverne Cox"
Friendsgiving,Saban Films,"Nicol Paone (director/screenplay); Malin Åkerman, Kat Dennings, Aisha Tyler, Chelsea Peretti, Ryan Hansen"
The Craft: Legacy,Columbia Pictures / Blumhouse Productions,"Zoe Lister-Jones (director/screenplay); Cailee Spaeny, Gideon Adlon, Lovie Simone, Zoey Luna, Michelle Monaghan, David Duchovny"
Holidate,Netflix,"John Whitesell (director); Tiffany Paulsen (screenplay); Emma Roberts, Luke Bracey, Kristin Chenoweth"
Come Play,Focus Features / Amblin Partners / Reliance Entertainment,"Jacob Chase (director/screenplay); Gillian Jacobs, John Gallagher Jr., Azhy Robertson, Winslow Fegley"
His House,Netflix / Regency Enterprises / BBC Films,"Remi Weekes (director/screenplay); Wunmi Mosaku. Sope Dirisu, Matt Smith"
Spell,Paramount Players,"Mark Tonderai (director); Kurt Wimmer (screenplay); Omari Hardwick, Loretta Devine"
Jungleland,Vertical Entertainment / Scott Free Productions,"Max Winkler (director/screenplay); Theodore B. Bressman, David Branson Smith (screenplay); Charlie Hunnam, Jack O'Connell, Jessica Barden, Jonathan Majors, John Cullum"
Let Him Go,Focus Features / Universal Pictures,"Thomas Bezucha (director/screenplay); Diane Lane, Kevin Costner, Lesley Manville, Will Brittain, Jeffrey Donovan"
The Informer,Aviron Pictures / Thunder Road Films,"Andrea Di Stefano (director/screenplay); Matt Cook, Rowan Joffe (screenplay); Joel Kinnaman, Rosamund Pike, Common, Ana de Armas, Clive Owen"
The Dark and the Wicked,RLJE Films,"Bryan Bertino (director/screenplay); Marin Ireland, Michael Abbott Jr., Xander Berkeley"
Hillbilly Elegy,Netflix / Imagine Entertainment,"Ron Howard (director); Vanessa Taylor (screenplay); Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos"
Mank,Netflix,"David Fincher (director); Jack Fincher (screenplay); Gary Oldman, Amanda Seyfried, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann, Charles Dance"
Freaky,Universal Pictures / Blumhouse Productions,"Christopher Landon (director/screenplay); Michael Kennedy (screenplay); Vince Vaughn, Kathryn Newton, Katie Finneran, Celeste O'Connor, Misha Osherovich, Alan Ruck"
Jingle Jangle: A Christmas Journey,Netflix,"David E. Talbert (director/screenplay); Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin"
Dreamland,Vertical Entertainment,"Miles Joris-Peyrafitte (director); Nicolaas Zwart (screenplay); Finn Cole, Margot Robbie, Travis Fimmel, Kerry Condon, Darby Camp, Garrett Hedlund, Lola Kirke"
Fatman,Saban Films / Ingenious Media,"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste"
The Life Ahead,Netflix,"Edoardo Ponti (director/screenplay); Ugo Chiti (screenplay); Sophia Loren, Ibrahima Gueye, Abril Zamora, Renato Carpentieri, Babak Karimi"
The Climb,Sony Pictures Classics,"Michael Angelo Covino (director/screenplay); Kyle Marvin (screenplay); Kyle Marvin, Michael Angelo Covino, Gayle Rankin, Talia Balsam, George Wendt, Judith Godrèche"
Chick Fight,Quiver Distribution / Redbox,"Paul Leyden (director); Joseph Downey (screenplay); Malin Åkerman, Bella Thorne, Fortune Feimster, Alec Baldwin"
The Princess Switch: Switched Again,Netflix,"Michael Rohl (director); Robin Bernheim, Megan Metzger (screenplay); Vanessa Hudgens, Sam Palladio, Nick Sagar"
Run,Hulu / Lionsgate,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); Sarah Paulson, Kiera Allen, Pat Healy, Sara Sohn"
Sound of Metal,Amazon Studios,"Darius Marder (director/screenplay); Abraham Marder (screenplay); Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric"
The Last Vermeer,TriStar Pictures,"Dan Friedkin (director); John Orloff, Mark Fergus and Hawk Ostby (screenplay); Guy Pearce, Claes Bang, Vicky Krieps"
Jiu Jitsu,The Avenue Entertainment,"Dimitri Logothetis (director/screenplay); James McGrath (screenplay); Alain Moussi, Frank Grillo, JuJu Chan, Tony Jaa, Nicolas Cage"
Buddy Games,Saban Films / WWE Studios,"Josh Duhamel (director/screenplay); Bob Schwartz, Jude Weng (screenplay); Josh Duhamel, Dax Shepard, Olivia Munn"
The Croods: A New Age,Universal Pictures / DreamWorks Animation,"Joel Crawford (director); Kevin Hageman, Dan Hageman, Paul Fisher, Bob Logan (screenplay); Nicolas Cage, Emma Stone, Ryan Reynolds, Peter Dinklage, Leslie Mann, Kelly Marie Tran, Catherine Keener, Clark Duke, Cloris Leachman"
Happiest Season,Hulu / TriStar Pictures / Entertainment One,"Clea DuVall (director/screenplay); Mary Holland (screenplay); Kristen Stewart, Mackenzie Davis, Alison Brie, Aubrey Plaza, Dan Levy, Mary Holland, Victor Garber, Mary Steenburgen"
Ma Rainey's Black Bottom,Netflix / Escape Artists,"George C. Wolfe (director); Ruben Santiago-Hudson (screenplay); Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo, Michael Potts, Jeremy Shamos, Taylour Paige, Dusan Brown, Jonny Coyne"
The Christmas Chronicles 2,Netflix / 1492 Pictures,"Chris Columbus (director/screenplay); Matt Lieberman (screenplay); Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison, Jazhir Bruno, Judah Lewis, Kimberly Williams-Paisley, Tyrese Gibson, Andrew Morgado"
Uncle Frank,Amazon Studios / Miramax,"Alan Ball (director/screenplay); Paul Bettany, Sophia Lillis, Peter Macdissi, Judy Greer, Steve Zahn, Lois Smith, Margo Martindale, Stephen Root"
Folklore: The Long Pond Studio Sessions,Disney+,"Taylor Swift (director/screenplay); Taylor Swift, Jack Antonoff, Aaron Dessner, Justin Vernon"
Superintelligence,HBO Max / Warner Bros. Pictures / New Line Cinema,"Ben Falcone (director); Steve Mallory (screenplay); Melissa McCarthy, Bobby Cannavale, Brian Tyree Henry, Jean Smart, James Corden"
Life in a Year,Amazon Studios / Columbia Pictures,"Mitja Okorn (director); Jeffrey Addiss, Will Matthews (screenplay); Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Nia Long"
Black Beauty,Disney+ / Constantin Film / JB Pictures,"Ashley Avis (director/screenplay); Mackenzie Foy, Kate Winslet, Claire Forlani, Fern Deacon, Iain Glen"
The Prom,Netflix,"Ryan Murphy (director); Chad Beguelin, Bob Martin (screenplay); Meryl Streep, James Corden, Jo Ellen Pellman, Nicole Kidman, Keegan-Michael Key, Andrew Rannells, Ariana DeBose, Kerry Washington"
All My Life,Universal Pictures,"Marc Meyers (director); Todd Rosenberg (screenplay); Jessica Rothe, Harry Shum Jr., Kyle Allen, Chrissie Fit, Jay Pharoah, Marielle Scott, Keala Settle"
Godmothered,Disney+ / Walt Disney Pictures,"Sharon Maguire (director); Kari Granlund, Melissa Stack (screenplay); Isla Fisher, Jillian Bell, Santiago Cabrera"
Half Brothers,Focus Features,"Luke Greenfield (director); Eduardo Cisneros, Jason Shuman (screenplay); Luis Gerardo Méndez, Connor Del Rio"
Wander,Saban Films,"April Mullen (director); Tim Doiron (screenplay); Aaron Eckhart, Katheryn Winnick, Heather Graham, Roger Dorman, Tommy Lee Jones"
Black Bear,Momentum Pictures,"Lawrence Michael Levine (director/screenplay); Aubrey Plaza, Christopher Abbott, Sarah Gadon"
Let Them All Talk,HBO Max,"Steven Soderbergh (director); Deborah Eisenberg (screenplay); Meryl Streep, Candice Bergen, Gemma Chan, Lucas Hedges, Dianne Wiest"
The Midnight Sky,Netflix / Smokehouse Pictures,"George Clooney (director); Mark L. Smith (screenplay); George Clooney, Felicity Jones, David Oyelowo, Tiffany Boone, Demián Bichir, Kyle Chandler, Caoilinn Springall"
Songbird,STX Films / Platinum Dunes,"Adam Mason (director/screenplay); Simon Boyes (screenplay); KJ Apa, Sofia Carson, Craig Robinson, Bradley Whitford, Peter Stormare, Alexandra Daddario, Paul Walter Hauser, Demi Moore"
Wild Mountain Thyme,Bleecker Street / Likely Story,"John Patrick Shanley (director/screenplay); Emily Blunt, Jamie Dornan, Jon Hamm, Dearbhla Molloy, Christopher Walken"
Safety,Disney+ / Walt Disney Pictures,"Reginald Hudlin (director); Nick Santora (screenplay); Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale"
Wander Darkly,Lionsgate,"Tara Miele (director/screenplay); Sienna Miller, Diego Luna, Beth Grant, Aimee Carrero, Tory Kittles, Vanessa Bayer"
I'm Your Woman,Amazon Studios,"Julia Hart (director/screenplay); Jordan Horowitz (screenplay); Rachel Brosnahan, Arinzé Kene, Marsha Stephanie Blake, Bill Heck, Frankie Faison"
The Stand In,Saban Films,"Jamie Babbit (director); Sam Bain (screenplay); Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor"
Archenemy,Voltage Pictures / RLJE Films,"Adam Egypt Mortimer (director/screenplay); Joe Manganiello, Skylan Brooks, Zolee Griggs, Paul Scheer, Amy Seimetz, Glenn Howerton"
Farewell Amor,IFC Midnight,"Ekwa Msangi (director/screenplay); Ntare Mwine, Zainab Jah, Jayme Lawson, Joie Lee"
Monster Hunter,Screen Gems / Constantin Film / Tencent Pictures / Toho / AB2 Digital Pictures,"Paul W. S. Anderson (director/screenplay); Milla Jovovich, Tony Jaa, Tip ""T.I."" Harris, Meagan Good, Diego Boneta, Josh Helman, Jin Au-Yeung, Ron Perlman"
Greenland,STX Films / Thunder Road Films,"Ric Roman Waugh (director); Chris Sparling (screenplay); Gerard Butler, Morena Baccarin, David Denman, Hope Davis, Roger Dale Floyd, Andrew Bachelor, Merrin Dungey, Holt McCallany, Scott Glenn"
Fatale,Lionsgate,"Deon Taylor (director); David Loughery (screenplay); Hilary Swank, Michael Ealy, Mike Colter, Geoffrey Owens, Denise Dowse"
Skylines,Vertical Entertainment / XYZ Films / Ingenious Media,"Liam O'Donnell (director/screenplay); Lindsey Morgan, Jonathan Howard, Daniel Bernhardt, Rhona Mitra, James Cosmo, Alexander Siddig"
Hunter Hunter,IFC Midnight,"Shawn Linden (director/screenplay); Devon Sawa, Camille Sullivan, Nick Stahl, Summer H. Howell"
Breach,Saban Films,"John Suits (director); Edward John Drake, Corey William Large (screenplay); Cody Kearsley, Bruce Willis, Thomas Jane"
"Ariana Grande: Excuse Me, I Love You",Netflix,Paul Dugdale (director); Ariana Grande
Sylvie's Love,Amazon Studios,"Eugene Ashe (director/screenplay); Tessa Thompson, Nnamdi Asomugha, Ryan Michelle Bathe, Aja Naomi King, Eva Longoria"
Wonder Woman 1984,HBO Max / Warner Bros. Pictures / DC Films / Atlas Entertainment / The Stone Quarry,"Patty Jenkins (director/screenplay); Geoff Johns, David Callaham (screenplay); Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal, Robin Wright, Connie Nielsen"
Soul,Disney+ / Walt Disney Pictures / Pixar Animation Studios,"Pete Docter (director/screenplay); Mike Jones, Kemp Powers (screenplay); Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga, Richard Ayoade, Phylicia Rashad, Donnell Rawlings, Questlove, Angela Bassett, Daveed Diggs, Wes Studi, Fortune Feimster, Zenobia Shroff"
We Can Be Heroes,Netflix / Troublemaker Studios / Double R Productions,"Robert Rodriguez (director/screenplay); Priyanka Chopra Jonas, Pedro Pascal, YaYa Gosselin, Boyd Holbrook, Adriana Barraza, Haley Reinhart, Sung Kang, Taylor Dooley, Christian Slater"
News of the World,Universal Pictures / Perfect World Pictures,"Paul Greengrass (director/screenplay); Luke Davies (screenplay); Tom Hanks, Helena Zengel"
One Night in Miami...,Amazon Studios,"Regina King (director); Kemp Powers (screenplay); Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr., Lance Reddick, Joaquina Kalukango, Nicolette Robinson, Beau Bridges, Lance Reddick"
Promising Young Woman,Focus Features / FilmNation Entertainment,"Emerald Fennell (director/screenplay); Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown, Jennifer Coolidge, Laverne Cox, Connie Britton"
Pieces of a Woman,Netflix / Bron Studios,"Kornél Mundruczó (director); Kata Wéber (screenplay); Vanessa Kirby, Shia LaBeouf, Molly Parker, Sarah Snook, Iliza Shlesinger, Benny Safdie, Jimmie Fails, Ellen Burstyn"
